owner	field	offset	size	datatype	header	decision	named_c_uses	reviewed_family	resource_observation	rationale	remaining_evidence
KfActor	unknown_0c	0xc	0x2	u8[2]	include/kf/game_actor.h:292	retain_unresolved	none in 101 configured translation variants	GAME actor_pool_load_placements;actor_update_awareness;actor_update_current_action	no independent serialized-field value census	Extent between [KfActorVerticalState vertical_state] and [s16 local_z] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.
KfActor	unknown_1a	0x1a	0x2	s16	include/kf/game_actor.h:299	retain_unresolved	none in 101 configured translation variants	GAME actor_pool_load_placements;actor_update_awareness;actor_update_current_action	no independent serialized-field value census	Extent between [u16 cell_z] and [VECTOR position] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.
KfActor	unknown_46	0x46	0x2	u8[2]	include/kf/game_actor.h:311	retain_unresolved	none in 101 configured translation variants	GAME actor_pool_load_placements;actor_update_awareness;actor_update_current_action	no independent serialized-field value census	Extent between [s16 movement_y] and [} KfActor] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.
KfActorDefinition	unknown_38	0x38	0x2	u8[2]	include/kf/game_actor.h:230	retain_unresolved	none in 101 configured translation variants	GAME actor_definitions_load;actor_update_awareness;actor_update_current_action	KF/B1/MIXA.DAT (12 records copied by actor_definitions_load; n=12; 0000:12); KF/B2/MIXA.DAT (12 records copied by actor_definitions_load; n=12; 0000:12); KF/B3/MIXA.DAT (12 records copied by actor_definitions_load; n=12; 0000:12); KF/B4/MIXA.DAT (12 records copied by actor_definitions_load; n=12; 0000:12); KF/B5/MIXA.DAT (12 records copied by actor_definitions_load; n=12; 0000:11,68f7:1)	Loaded B5 record contains 68f7 while other 59 rows are zero; this disproves an all-zero rationale for padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.
KfActorPlacement	unknown_07	0x7	0x3	u8[3]	include/kf/game_actor.h:273	retain_unresolved	none in 101 configured translation variants	GAME actor_pool_load_placements;actor_update_awareness;actor_update_current_action	KF/B1/MIXA.DAT (active chunk 5 placement rows before sentinel/capacity; n=119; 000000:119); KF/B2/MIXA.DAT (active chunk 5 placement rows before sentinel/capacity; n=119; 000000:119); KF/B3/MIXA.DAT (active chunk 5 placement rows before sentinel/capacity; n=114; 000000:114); KF/B4/MIXA.DAT (active chunk 5 placement rows before sentinel/capacity; n=108; 000000:108); KF/B5/MIXA.DAT (active chunk 5 placement rows before sentinel/capacity; n=55; 000000:55)	Extent between [KfObjectId death_drop_object_id] and [s16 local_z] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.
KfActorPlacement	unknown_0e	0xe	0x2	u8[2]	include/kf/game_actor.h:276	retain_unresolved	none in 101 configured translation variants	GAME actor_pool_load_placements;actor_update_awareness;actor_update_current_action	KF/B1/MIXA.DAT (active chunk 5 placement rows before sentinel/capacity; n=119; 0000:119); KF/B2/MIXA.DAT (active chunk 5 placement rows before sentinel/capacity; n=119; 0000:119); KF/B3/MIXA.DAT (active chunk 5 placement rows before sentinel/capacity; n=114; 0000:114); KF/B4/MIXA.DAT (active chunk 5 placement rows before sentinel/capacity; n=108; 0000:108); KF/B5/MIXA.DAT (active chunk 5 placement rows before sentinel/capacity; n=55; 0000:55)	Extent between [s16 local_x] and [} KfActorPlacement] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.
KfArmorRecord	unknown_00	0x0	0x2	u16	include/kf/game_equipment.h:31	retain_unresolved	none in 101 configured translation variants	GAME armor_records_load;player_set_equipment_slot;player_recalculate_combat_stats	KF/COM/COM.DAT (complete chunk 3 payload; n=27; 26 distinct byte patterns; 2 all-zero rows); KF/COM/COM.DAT (complete loader source including next chunk bytes; n=42; 35 distinct byte patterns; 7 all-zero rows)	Low byte correlates with equipment slots for all 23 named armor items; high byte varies and no retail reader establishes either lane, so retain the u16.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.
KfArmorRecord	unknown_12	0x12	0xa	u8[10]	include/kf/game_equipment.h:40	retain_unresolved	none in 101 configured translation variants	GAME armor_records_load;player_set_equipment_slot;player_recalculate_combat_stats	KF/COM/COM.DAT (complete chunk 3 payload; n=27; 23 distinct byte patterns; 5 all-zero rows); KF/COM/COM.DAT (complete loader source including next chunk bytes; n=42; 34 distinct byte patterns; 9 all-zero rows)	Nonzero price-like suffix is not the independent STAT shop-price table; no consumer proves the ten-byte subdivision.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.
KfAudioState	unknown_06	0x6	0x2	u8[2]	include/kf/audio.h:66	retain_unresolved	none in 101 configured translation variants	GAME/OPEN audio_initialize	no independent serialized-field value census	Extent between [s16 active_vab_id] and [u_long *sequence_buffer] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.
KfAudioState	unknown_0e	0xe	0x2	u8[2]	include/kf/audio.h:69	retain_unresolved	none in 101 configured translation variants	GAME/OPEN audio_initialize	no independent serialized-field value census	Extent between [s16 sequence_id] and [KfAudioSequenceState sequence_active] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.
